"","Tickers","Names"
"1490","CSTE","(Caesarstone)"
"1491","CSTL","(Castle Biosciences)"
"1492","CSTM","(Constellium SE Class A Ordinary shares)"
"1493","CSTR","(Capstar Financial)"
"1494","CSV","(Carriage Services)"
"1495","CSWC","(Capital Southwest Corp)"
"1496","CSWI","(Csw Industrials)"
"1497","CSX","(CSX)"
"1498","CTA.A","(E.I. DU PONT DE NEMOURS AND COMPANY PREFERRED STOCK)"
"1499","CTA.B","(E.I. DU PONT DE NEMOURS AND COMPANY PREFERRED STOCK)"
"1500","CTAS","(Cintas Corporation)"
"1501","CTBI","(Community Trust Bancorp)"
"1502","CTEK","(CYNERGISTEK INC. COMMON STOCK)"
"1503","CTG","(COMPUTER TASK GROUP INC. COMMON STOCK)"
"1504","CTGO","(CONTANGO ORE INC. COMMON STOCK)"
"1505","CTHR","(CHARLES & COLVARD LTD COMMON STOCK)"
"1506","CTIB","(YUNHONG CTI LTD. COMMON STOCK)"
"1507","CTIC","(CTI BIOPHARMA CORP. (DE) COMMON STOCK)"
"1508","CTKB","(Cytek Biosciences)"
"1509","CTLT","(Catalent)"
"1510","CTMX","(Cytomx Therapeutics)"
"1511","CTO","(Cto Realty Growth)"
"1512","CTR","(CLEARBRIDGE MLP AND MIDSTREAM TOTAL RETURN FUND INC. COMMON STOCK)"
"1513","CTRA","(Coterra Energy Inc.)"
"1514","CTRE","(Caretrust Reit)"
"1515","CTRM","(CASTOR MARITIME INC. COMMON SHARES)"
"1516","CTRN","(Citi Trends)"
"1517","CTS","(Cts)"
"1518","CTSH","(Cognizant Technology Solutions)"
"1519","CTSO","(Cytosorbents Corp)"
"1520","CTT","(Catchmark Timber Trust)"
"1521","CTV","(INNOVID CORP. COMMON STOCK)"
"1522","CTVA","(CORTEVA)"
"1523","CTXR","(CITIUS PHARMACEUTICALS INC. COMMON STOCK)"
"1524","CTXRW","(CITIUS PHARMACEUTICALS INC. WARRANT)"
"1525","CTXS","(Citrix Systems)"
"1526","CUBA","(HERZFELD CARIBBEAN BASIN FUND INC. (THE) COMMON STOCK)"
"1527","CUBE","(CubeSmart)"
"1528","CUBI.E","(CUSTOMERS BANCORP INC FIXED-TO-FLOATING RATE NON-CUMULATIVE PERPETUAL PREFERRED STOCK SERIES E)"
"1529","CUBI.F","(CUSTOMERS BANCORP INC FIXED-TO-FLOATING RATE NON-CUMULATIVE PERPETUAL PREFERRED STOCK SERIES F)"
"1530","CUE","(Cue Biopharma)"
"1531","CUEN","(CUENTAS INC. COMMON STOCK)"
"1532","CUK","(Carnival Corporation & Plc)"
"1533","CULL","(CULLMAN BANCORP INC. COMMON STOCK)"
"1534","CULP","(CULP INC. COMMON STOCK)"
"1535","CURI","(CuriosityStream Inc. Class A Common Stock)"
"1536","CURIW","(CURIOSITYSTREAM INC. WARRANT)"
"1537","CURV","(Torrid Holdings)"
"1538","CUTR","(Cutera)"
"1539","CUZ","(Cousins Properties Incorporated)"
"1540","CVAC","(CureVac N.V.)"
"1541","CVBF","(CVB Financial)"
"1542","CVCO","(Cavco Industries)"
"1543","CVCY","(Central Valley Comm Bank)"
"1544","CVE","(Cenovus Energy)"
"1545","CVEO","(CIVEO CORPORATION (CANADA) COMMON SHARES)"
"1546","CVET","(Covetrus)"
"1547","CVGI","(COMMERCIAL VEHICLE GROUP INC. COMMON STOCK)"
"1548","CVGW","(Calavo Growers)"
"1549","CVI","(CVR Energy)"
"1550","CVII","(CHURCHILL CAPITAL CORP VII CLASS A COMMON STOCK)"
"1551","CVLG","(COVENANT LOGISTICS GROUP INC. CLASS A COMMON STOCK)"
"1552","CVLT","(Commvault Systems)"
"1553","CVLY","(Codorus Valley Bancorp)"
"1554","CVM","(Cel-sci)"
"1555","CVNA","(Carvana Co.)"
"1556","CVR","(CHICAGO RIVET & MACHINE CO. COMMON STOCK)"
"1557","CVRX","(CVRx)"
"1558","CVS","(CVS Health)"
"1559","CVT","(CVENT HOLDING CORP. COMMON STOCK)"
"1560","CVV","(CVD EQUIPMENT CORPORATION COMMON STOCK)"
"1561","CVX","(Chevron)"
"1562","CW","(Curtiss-Wright Corporation)"
"1563","CWAN","(Clearwater Analytics)"
"1564","CWBC","(COMMUNITY WEST BANCSHARES COMMON STOCK)"
"1565","CWBR","(Cohbar)"
"1566","CWCO","(Consolidated Water)"
"1567","CWEN","(Clearway Energy)"
"1568","CWEN.A","(Clearway Energy)"
"1569","CWK","(Cushman & Wakefield plc)"
"1570","CWST","(Casella Waste Systems)"
"1571","CWT","(California Water Service Group)"
"1572","CX","(CEMEX S.A.B. de C.V.)"
"1573","CXDO","(CREXENDO INC. COMMON STOCK)"
"1574","CXE","(MFS HIGH INCOME MUNICIPAL TRUST COMMON STOCK)"
"1575","CXH","(MFS INVESTMENT GRADE MUNICIPAL TRUST COMMON STOCK)"
"1576","CXM","(Sprinklr)"
"1577","CXW","(Corecivic)"
"1578","CYAD","(CELYAD ONCOLOGY SA AMERICAN DEPOSITARY SHARES)"
"1579","CYAN","(CYANOTECH CORPORATION COMMON STOCK)"
"1580","CYBE","(Cyberoptics)"
"1581","CYBN","(CYBIN INC. COMMON SHARES)"
"1582","CYBR","(CyberArk Software Ltd.)"
"1583","CYCC","(CYCLACEL PHARMACEUTICALS INC. COMMON STOCK)"
"1584","CYCN","(Cyclerion Therapeutics)"
"1585","CYD","(CHINA YUCHAI INTERNATIONAL LIMITED COMMON STOCK)"
"1586","CYH","(Community Health Systems)"
"1587","CYN","(CYNGN INC. COMMON STOCK)"
"1588","CYRN","(CYREN LTD. ORDINARY SHARES)"
"1589","CYRX","(Cryoport)"
"1590","CYT","(Cyteir Therapeutics)"
"1591","CYTH","(CYCLO THERAPEUTICS INC. COMMON STOCK)"
"1592","CYTHW","(CYCLO THERAPEUTICS INC. WARRANT)"
"1593","CYTO","(ALTAMIRA THERAPEUTICS LTD. COMMON SHARES 0.01 SF (BERMUDA))"
"1594","CYXT","(Cyxtera Technologies)"
"1595","CZFS","(CITIZENS FINANCIAL SERVICES INC. COMMON STOCK)"
"1596","CZNC","(Citizens And Northern)"
"1597","CZOO","(CAZOO GROUP LTD CLASS A ORDINARY SHARES)"
"1598","CZR","(Caesars Entertainment Corporation)"
"1599","CZWI","(CITIZENS COMMUNITY BANCORP INC. COMMON STOCK)"
"1600","D","(Dominion Energy)"
"1601","DAC","(Danaos Corporation)"
"1602","DADA","(Dada Nexus Limited)"
"1603","DAIO","(DATA I/O CORPORATION COMMON STOCK)"
"1604","DAKT","(Daktronics)"
"1605","DAL","(Delta Air Lines)"
"1606","DALN","(DALLASNEWS CORPORATION SERIES A COMMON STOCK)"
"1607","DAN","(Dana)"
"1608","DAO","(Youdao)"
"1609","DAR","(Darling Ingredients)"
"1610","DARE","(DARE BIOSCIENCE INC. COMMON STOCK)"
"1611","DASH","(DoorDash)"
"1612","DATS","(DatChat)"
"1613","DATSW","(DATCHAT INC. SERIES A WARRANT)"
"1614","DAVA","(ENDAVA PLC AMERICAN DEPOSITARY SHARES (EACH REPRESENTING ONE CLASS A ORDINARY SHARE))"
"1615","DAVE","(DAVE INC. CLASS A COMMON STOCK)"
"1616","DAVEW","(DAVE INC. WARRANTS)"
"1617","DAWN","(Day One Biopharmaceuticals)"
"1618","DB","(Deutsche Bank Aktiengesellschaft)"
"1619","DBD","(Diebold)"
"1620","DBGI","(Digital Brands Group)"
"1621","DBGIW","(DIGITAL BRANDS GROUP INC. WARRANT)"
"1622","DBI","(Designer Brands)"
"1623","DBL","(DOUBLELINE OPPORTUNISTIC CREDIT FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"1624","DBTX","(Decibel Therapeutics)"
"1625","DBVT","(DBV Technologies S.A.)"
"1626","DBX","(Dropbox)"
"1627","DC","(DAKOTA GOLD CORP. COMMON STOCK)"
"1628","DCBO","(Docebo)"
"1629","DCF","(BNY MELLON ALCENTRA GLOBAL CREDIT INCOME 2024 TARGET TERM FUND INC. COMMON STOCK)"
"1630","DCFC","(Tritium DCFC)"
"1631","DCFCW","(TRITIUM DCFC LIMITED WARRANT)"
"1632","DCGO","(DocGo)"
"1633","DCGOW","(DOCGO INC. WARRANTS)"
"1634","DCI","(Donaldson)"
"1635","DCO","(Ducommun)"
"1636","DCOM","(Dime Community Bancshares)"
"1637","DCOMP","(DIME COMMUNITY BANCSHARES INC. FIXED-RATE NON-CUMULATIVE PERPETUAL PREFERRED STOCK SERIES A)"
"1638","DCP","(DCP Midstream LP)"
"1639","DCPH","(Deciphera Pharmaceuticals)"
"1640","DCT","(Duck Creek Technologies)"
"1641","DCTH","(DELCATH SYSTEMS INC. COMMON STOCK)"
"1642","DD","(DUPONT DE NEMOURS)"
"1643","DDD","(3d Systems)"
"1644","DDF","(DELAWARE INVESTMENTS DIVIDEND & INCOME FUND INC. COMMON STOCK)"
"1645","DDI","(DOUBLEDOWN INTERACTIVE CO. LTD. AMERICAN DEPOSITORY SHARES)"
"1646","DDL","(Dingdong)"
"1647","DDOG","(Datadog)"
"1648","DDS","(DILLARD'S)"
"1649","DDT","(DILLARD'S CAPITAL TRUST I)"
"1650","DE","(Deere & Co.)"
"1651","DEA","(Easterly Government Properties)"
"1652","DECK","(Deckers Outdoor Corporation)"
"1653","DEI","(Douglas Emmett)"
"1654","DELL","(DELL TECHNOLOGIES)"
"1655","DEN","(Denbury Inc.)"
"1656","DENN","(Denny's)"
"1657","DEO","(DIAGEO PLC COMMON STOCK)"
"1658","DERM","(JOURNEY MEDICAL CORPORATION COMMON STOCK)"
"1659","DEX","(DELAWARE ENHANCED GLOBAL DIVIDEND COMMON SHARES OF BENEFICIAL INTEREST)"
"1660","DFFN","(DIFFUSION PHARMACEUTICALS INC. COMMON STOCK)"
"1661","DFH","(Dream Finders Homes)"
"1662","DFIN","(Donnelley Financial Solutions)"
"1663","DFP","(FLAHERTY & CRUMRINE DYNAMIC PREFERRED AND INCOME FUND INC. COMMON STOCK)"
"1664","DFS","(Discover Financial Services)"
"1665","DG","(Dollar General)"
"1666","DGHI","(DIGIHOST TECHNOLOGY INC. COMMON SUBORDINATE VOTING SHARES)"
"1667","DGICA","(Donegal Group)"
"1668","DGICB","(DONEGAL GROUP INC. CLASS B COMMON STOCK)"
"1669","DGII","(Digi International)"
"1670","DGLY","(DIGITAL ALLY INC. COMMON STOCK)"
"1671","DGNU","(DRAGONEER GROWTH OPPORTUNITIES CORP. III CLASS A ORDINARY SHARES)"
"1672","DGX","(Quest Diagnostics)"
"1673","DH","(Definitive Healthcare)"
"1674","DHBC","(DHB CAPITAL CORP. CLASS A COMMON STOCK)"
"1675","DHBCU","(DHB CAPITAL CORP. UNIT)"
"1676","DHBCW","(DHB CAPITAL CORP. WARRANT)"
"1677","DHC","(Diversified Healthcare Trust Common Shares Of Bene)"
"1678","DHF","(BNY MELLON HIGH YIELD STRATEGIES FUND COMMON STOCK)"
"1679","DHHC","(DiamondHead Holdings)"
"1680","DHHCU","(DIAMONDHEAD HOLDINGS CORP. UNIT)"
"1681","DHI","(D. R. Horton)"
"1682","DHIL","(Diamond Hill Investment)"
"1683","DHR","(Danaher)"
"1684","DHT","(Dht)"
"1685","DHX","(Dhi Group)"
"1686","DHY","(CREDIT SUISSE HIGH YIELD BOND FUND COMMON STOCK)"
"1687","DIAX","(NUVEEN DOW 30SM DYNAMIC OVERWRITE FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"1688","DIBS","(1stdibs.com)"
"1689","DICE","(DICE THERAPEUTICS INC. COMMON STOCK)"
"1690","DIN","(Dine Brands Global)"
"1691","DINO","(HF Sinclair)"
"1692","DIOD","(Diodes)"
"1693","DIS","(The Walt Disney Company)"
"1694","DISH","(Dish Network)"
"1695","DIT","(AMCON DISTRIBUTING COMPANY COMMON STOCK)"
"1696","DJCO","(Daily Journal)"
"1697","DK","(Delek Us)"
"1698","DKNG","(DraftKings)"
"1699","DKS","(DICK'S Sporting Goods)"
"1700","DLA","(DELTA APPAREL INC. COMMON STOCK)"
"1701","DLB","(Dolby Laboratories)"
"1702","DLHC","(DLH HOLDINGS CORP.)"
"1703","DLNG","(DYNAGAS LNG PARTNERS LP COMMON UNITS)"
"1704","DLO","(DLocal)"
"1705","DLPN","(DOLPHIN ENTERTAINMENT INC. COMMON STOCK)"
"1706","DLR","(Digital Realty Trust Inc)"
"1707","DLTH","(Duluth)"
"1708","DLTR","(Dollar Tree)"
"1709","DLX","(Deluxe)"
"1710","DLY","(DOUBLELINE YIELD OPPORTUNITIES FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"1711","DMA","(DESTRA MULTI-ALTERNATIVE FUND COMMON STOCK)"
"1712","DMAC","(DIAMEDICA THERAPEUTICS INC. COMMON STOCK)"
"1713","DMB","(BNY MELLON MUNICIPAL BOND INFRASTRUCTURE FUND INC. COMMON STOCK)"
"1714","DMF","(BNY MELLON MUNICIPAL INCOME INC. COMMON STOCK)"
"1715","DMLP","(Dorchester Minerals LP)"
"1716","DMO","(WESTERN ASSET MORTGAGE OPPORTUNITY FUND INC. COMMON STOCK)"
"1717","DMRC","(Digimarc)"
"1718","DMS","(DIGITAL MEDIA SOLUTIONS INC. CLASS A ORDINARY SHARES)"
"1719","DMTK","(Dermtech)"
"1720","DMYS","(DMY TECHNOLOGY GROUP INC. VI CLASS A COMMON STOCK)"
"1721","DNAA","(SOCIAL CAPITAL SUVRETTA HOLDINGS CORP. I CLASS A ORDINARY SHARE)"
"1722","DNAB","(SOCIAL CAPITAL SUVRETTA HOLDINGS CORP. II CLASS A ORDINARY SHARES)"
"1723","DNAC","(SOCIAL CAPITAL SUVRETTA HOLDINGS CORP. III CLASS A ORDINARY SHARES)"
"1724","DNAD","(SOCIAL CAPITAL SUVRETTA HOLDINGS CORP. IV CLASS A ORDINARY SHARES)"
"1725","DNAY","(Codex DNA)"
"1726","DNB","(DUN & BRADSTREET CORPORATION (T)"
"1727","DNLI","(Denali Therapeutics)"
"1728","DNN","(Denison Mines Corp)"
"1729","DNOW","(Now)"
"1730","DNP","(DNP Select Income Fund)"
"1731","DNUT","(Krispy Kreme)"
"1732","DOC","(Physicians Realty Trust)"
"1733","DOCN","(DigitalOcean)"
"1734","DOCS","(Doximity)"
"1735","DOCU","(DocuSign)"
"1736","DOGZ","(Dogness (International))"
"1737","DOLE","(Dole)"
"1738","DOMO","(Domo)"
"1739","DOOO","(BRP Inc. Common Subordinate Voting Shares)"
"1740","DOOR","(Masonite International Corp)"
"1741","DORM","(Dorman Products)"
"1742","DOUG","(DOUGLAS ELLIMAN INC. COMMON STOCK)"
"1743","DOV","(Dover)"
"1744","DOW","(DOW)"
"1745","DOX","(Amdocs Limited)"
"1746","DOYU","(DouYu International Holdings Limited)"
"1747","DPG","(DUFF & PHELPS UTILITY AND INFRASTRUCTURE FUND INC.)"
"1748","DPRO","(DRAGANFLY INC. COMMON SHARES)"
"1749","DPSI","(DECISIONPOINT SYSTEMS INC. COMMON STOCK)"
"1750","DPZ","(Domino's Pizza)"
"1751","DQ","(DAQO NEW ENERGY CORP. AMERICAN DEPOSITARY SHARES EACH REPRESENTING FIVE ORDINARY SHARES)"
"1752","DRCT","(Direct Digital)"
"1753","DRCTW","(DIRECT DIGITAL HOLDINGS INC. WARRANT)"
"1754","DRD","(DRDGOLD LIMITED AMERICAN DEPOSITARY SHARES)"
"1755","DRE","(Duke Realty Corp)"
"1756","DRH","(Diamondrock Hospitality)"
"1757","DRI","(Darden Restaurants)"
"1758","DRIO","(DARIOHEALTH CORP. COMMON STOCK)"
"1759","DRMA","(Dermata Therapeutics)"
"1760","DRMAW","(DERMATA THERAPEUTICS INC. WARRANT)"
"1761","DRQ","(Dril-quip)"
"1762","DRRX","(Durect)"
"1763","DRTS","(Alpha Tau Medical)"
"1764","DRTSW","(ALPHA TAU MEDICAL LTD. WARRANT)"
"1765","DRTT","(DIRTT ENVIRONMENTAL SOLUTIONS LTD. COMMON SHARES)"
"1766","DRUG","(BRIGHT MINDS BIOSCIENCES INC. COMMON STOCK)"
"1767","DRVN","(Driven Brands)"
"1768","DS","(DRIVE SHACK INC.)"
"1769","DS.B","(DRIVE SHACK INC. PREFERRED SERIES B)"
"1770","DS.C","(DRIVE SHACK INC. PREFERRED SERIES C)"
"1771","DS.D","(DRIVE SHACK INC. PFD SER D)"
"1772","DSEY","(Diversey)"
"1773","DSGN","(Design Therapeutics)"
"1774","DSGR","(DISTRIBUTION SOLUTIONS GROUP INC. COMMON STOCK)"
"1775","DSGX","(The Descartes Systems Group Inc)"
"1776","DSKE","(Daseke)"
"1777","DSL","(DOUBLELINE INCOME SOLUTIONS FUND COMMON SHARES OF BENEFICIAL INTERESTS)"
"1778","DSM","(BNY MELLON STRATEGIC MUNICIPAL BOND FUND INC. COMMON STOCK)"
"1779","DSP","(Viant Technology)"
"1780","DSS","(DSS INC. COMMON STOCK)"
"1781","DSU","(BLACKROCK DEBT STRATEGIES FUND INC. COMMON STOCK)"
"1782","DSWL","(DESWELL INDUSTRIES INC. COMMON SHARES)"
"1783","DSX","(DIANA SHIPPING INC. COMMON STOCK)"
"1784","DSX.B","(DIANA SHIPPING INC. PERPETUAL PREFERRED SHARES SERIES B (MARSHALL ISLANDS))"
"1785","DT","(Dynatrace)"
"1786","DTC","(Solo Brands)"
"1787","DTE","(DTE Energy Co.)"
"1788","DTEA","(DAVIDSTEA INC. COMMON STOCK)"
"1789","DTF","(DTF TAX-FREE INCOME 2028 TERM FUND INC. COMMON STOCK)"
"1790","DTIL","(Precision Biosciences)"
"1791","DTM","(DT)"
"1792","DTOC","(DIGITAL TRANSFORMATION OPPORTUNITIES CORP. CLASS A COMMON STOCK)"
"1793","DTOCU","(DIGITAL TRANSFORMATION OPPORTUNITIES CORP. UNITS)"
"1794","DTOCW","(DIGITAL TRANSFORMATION OPPORTUNITIES CORP. WARRANT)"
"1795","DTSS","(DATASEA INC. COMMON STOCK)"
"1796","DTST","(DATA STORAGE CORPORATION COMMON STOCK)"
"1797","DTW","(DTE ENERGY COMPANY 2017 SERIES E 5.25% JUNIOR SUBORDINATED DEBENTURES DUE 2077)"
"1798","DUK","(Duke Energy)"
"1799","DUO","(FANGDD NETWORK GROUP LTD. AMERICAN DEPOSITARY SHARES)"
"1800","DUOL","(Duolingo)"
"1801","DUOT","(DUOS TECHNOLOGIES GROUP INC. COMMON STOCK)"
"1802","DVA","(DaVita)"
"1803","DVAX","(Dynavax Technologies)"
"1804","DVN","(Devon Energy)"
"1805","DWSN","(DAWSON GEOPHYSICAL COMPANY COMMON STOCK)"
"1806","DX","(Dynex Capital)"
"1807","DXC","(DXC Technology)"
"1808","DXCM","(Dexcom)"
"1809","DXF","(DUNXIN FINANCIAL HOLDINGS LIMITED AMERICAN DEPOSITARY SHARES)"
"1810","DXLG","(DESTINATION XL GROUP INC. COMMON STOCK)"
"1811","DXPE","(Dxp Enterprises)"
"1812","DXR","(DAXOR CORPORATION COMMON STOCK)"
"1813","DXYN","(DIXIE GROUP INC. (THE) COMMON STOCK)"
"1814","DY","(Dycom Industries)"
"1815","DYAI","(Dyadic International)"
"1816","DYFN","(ANGEL OAK DYNAMIC FINANCIAL STRATEGIES INCOME TERM TRUST COMMON SHARES OF BENEFICIAL INTEREST)"
"1817","DYNT","(DYNATRONICS CORPORATION COMMON STOCK)"
"1818","DZSI","(Dzs)"
"1819","E","(Eni S.p.A.)"
"1820","EA","(Electronic Arts)"
"1821","EAD","(ALLSPRING INCOME OPPORTUNITIES FUND COMMON SHARES)"
"1822","EAI","(ENTERGY ARKANSAS LLC FIRST MORTGAGE BONDS 4.875% SERIES DUE SEPTEMBER 1 2066)"
"1823","EAR","(Eargo)"
"1824","EARN","(Ellington Residential Mortgage)"
"1825","EAST","(EASTSIDE DISTILLING INC. COMMON STOCK)"
"1826","EAT","(Brinker International)"
"1827","EB","(Eventbrite)"
"1828","EBAY","(eBay)"
"1829","EBC","(Eastern Bankshares)"
"1830","EBET","(Esports Technologies)"
"1831","EBF","(Ennis)"
"1832","EBIX","(Ebix)"
"1833","EBMT","(Eagle Bancorp Montana)"
"1834","EBON","(EBANG INTERNATIONAL HOLDINGS INC. CLASS A ORDINARY SHARES)"
"1835","EBR","(Centrais Eletricas Brasileiras S.A. - Eletrobras)"
"1836","EBS","(Emergent BioSolutions)"
"1837","EBTC","(Enterprise Bancorp)"
"1838","EC","(Ecopetrol S.A.)"
"1839","ECAT","(BLACKROCK ESG CAPITAL ALLOCATION TRUST COMMON SHARES OF BENEFICIAL INTEREST)"
"1840","ECC","(EAGLE POINT CREDIT COMPANY INC. COMMON STOCK)"
"1841","ECF","(ELLSWORTH GROWTH AND INCOME FUND LTD.)"
"1842","ECL","(Ecolab)"
"1843","ECOM","(Channeladvisor)"
"1844","ECOR","(ELECTROCORE INC. COMMON STOCK)"
"1845","ECPG","(Encore Capital Group)"
"1846","ECVT","(Ecovyst Inc.)"
"1847","ED","(Consolidated Edison)"
"1848","EDAP","(EDAP TMS S.A. AMERICAN DEPOSITARY SHARES)"
"1849","EDBL","(EDIBLE GARDEN AG INCORPORATED COMMON STOCK)"
"1850","EDBLW","(EDIBLE GARDEN AG INCORPORATED WARRANT)"
"1851","EDD","(MORGAN STANLEY EMERGING MARKETS DOMESTIC DEBT FUND INC. MORGAN STANLEY EMERGING MARKETS DOMESTIC DEBT FUND INC. COMMON STOCK)"
"1852","EDF","(VIRTUS STONE HARBOR EMERGING MARKETS INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"1853","EDI","(VIRTUS STONE HARBOR EMERGING MARKETS TOTAL INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"1854","EDIT","(Editas Medicine)"
"1855","EDN","(EMPRESA DISTRIBUIDORA Y COMERCIALIZADORA NORTE S.A. (EDENOR) EMPRESA DISTRIBUIDORA Y COMERCIALIZADORA NORTE S.A. (EDENOR) AMERICAN DEPOSITARY SHARES)"
"1856","EDR","(Endeavor Group Holdings)"
"1857","EDRY","(EurDry drybulk)"
"1858","EDSA","(EDESA BIOTECH INC. COMMON SHARES)"
"1859","EDTK","(Skillful Craftsman)"
"1860","EDU","(New Oriental Education & Technology Group)"
"1861","EDUC","(EDUCATIONAL DEVELOPMENT CORPORATION COMMON STOCK)"
"1862","EEA","(THE EUROPEAN EQUITY FUND INC. COMMON STOCK)"
"1863","EEFT","(Euronet Worldwide)"
"1864","EEIQ","(Elite Education Group)"
"1865","EEX","(Emerald Holding)"
"1866","EFC","(Ellington Financial)"
"1867","EFL","(EATON VANCE FLOATING-RATE 2022 TARGET TERM TRUST COMMON SHARES OF BENEFICIAL INTEREST)"
"1868","EFOI","(ENERGY FOCUS INC. COMMON STOCK)"
"1869","EFR","(EATON VANCE SENIOR FLOATING-RATE FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"1870","EFSC","(Enterprise Financial Svcs)"
"1871","EFT","(EATON VANCE FLOATING RATE INCOME TRUST COMMON SHARES OF BENEFICIAL INTEREST)"
"1872","EFTRW","(EFFECTOR THERAPEUTICS INC. WARRANT)"
"1873","EFX","(Equifax)"
"1874","EGAN","(Egain)"
"1875","EGBN","(Eagle Bancorp)"
"1876","EGF","(BLACKROCK ENHANCED GOVERNMENT FUND INC. COMMON STOCK)"
"1877","EGHT","(8 X 8)"
"1878","EGIO","(EDGIO INC. COMMON STOCK)"
"1879","EGLX","(Enthusiast Gaming Holdings Inc. Common Stock)"
"1880","EGO","(Eldorado Gold Corporation)"
"1881","EGP","(EastGroup Properties)"
"1882","EGY","(VAALCO ENERGY INC. COMMON STOCK)"
"1883","EH","(EHANG HOLDINGS LIMITED ADS)"
"1884","EHC","(Encompass Health Corporation)"
"1885","EHI","(WESTERN ASSET GLOBAL HIGH INCOME FUND INC COMMON STOCK)"
"1886","EHTH","(eHealth)"
"1887","EIC","(EAGLE POINT INCOME COMPANY INC. COMMON STOCK)"
"1888","EIG","(Employers)"
"1889","EIGR","(Eiger Biopharmaceuticals)"
"1890","EIM","(EATON VANCE MUNICIPAL BOND FUND COMMON SHARES OF BENEFICIAL INTEREST $.01 PAR VALUE)"
"1891","EIX","(Edison Int'l)"
"1892","EJH","(E-HOME HOUSEHOLD SERVICE HOLDINGS LIMITED ORDINARY SHARES)"
"1893","EKSO","(EKSO BIONICS HOLDINGS INC. COMMON STOCK)"
"1894","EL","(Estee Lauder Cos.)"
"1895","ELA","(Envela Corp)"
"1896","ELAN","(Elanco Animal Health Incorporated)"
"1897","ELBM","(ELECTRA BATTERY MATERIALS CORPORATION COMMON STOCK)"
"1898","ELDN","(ELEDON PHARMACEUTICALS INC. COMMON STOCK)"
"1899","ELEV","(Elevation Oncology)"
"1900","ELF","(E.L.F. Beauty)"
"1901","ELLO","(ELLOMAY CAPITAL LTD ORDINARY SHARES (ISRAEL))"
"1902","ELMD","(Electromed)"
"1903","ELOX","(Eloxx Pharmaceuticals)"
"1904","ELP","(Companhia Paranaense de Energia - COPEL)"
"1905","ELS","(Equity LifeStyle Properties)"
"1906","ELSE","(ELECTRO-SENSORS INC. COMMON STOCK)"
"1907","ELTK","(ELTEK LTD. ORDINARY SHARES)"
"1908","ELV","(ELEVANCE HEALTH INC. COMMON STOCK)"
"1909","ELVT","(ELEVATE CREDIT INC. COMMON STOCK)"
"1910","ELY","(Callaway Golf)"
"1911","ELYM","(Eliem Therapeutics)"
"1912","ELYS","(ELYS GAME TECHNOLOGY CORP. COMMON STOCK)"
"1913","EM","(Smart Share Global)"
"1914","EMAN","(EMAGIN CORPORATION COMMON STOCK)"
"1915","EMBC","(Embecta Corp)"
"1916","EMBK","(EMBARK TECHNOLOGY INC. COMMON STOCK)"
"1917","EMBKW","(EMBARK TECHNOLOGY INC. WARRANTS)"
"1918","EMCF","(EMCLAIRE FINANCIAL CORP COMMON STOCK)"
"1919","EMD","(WESTERN ASSET EMERGING MARKETS DEBT FUND INC COMMON STOCK)"
"1920","EME","(EMCOR Group)"
"1921","EMF","(TEMPLETON EMERGING MARKETS FUND COMMON STOCK)"
"1922","EMKR","(EMCORE CORPORATION COMMON STOCK)"
"1923","EML","(Eastern)"
"1924","EMN","(Eastman Chemical)"
"1925","EMO","(CLEARBRIDGE ENERGY MIDSTREAM OPPORTUNITY FUND INC. COMMON STOCK)"
"1926","EMR","(Emerson Electric Company)"
"1927","EMWP","(EROS MEDIA WORLD PLC A ORDINARY SHARES GBP 0.30 PAR VALUE)"
"1928","EMX","(EMX ROYALTY CORPORATION COMMON SHARES (CANADA))"
"1929","ENCP","(ENERGEM CORP CLASS A ORDINARY SHARES)"
"1930","ENCPW","(ENERGEM CORP WARRANT)"
"1931","ENDP","(ENDO INTERNATIONAL PLC)"
"1932","ENFN","(ENFUSION INC. CLASS A COMMON STOCK)"
"1933","ENG","(ENGLOBAL CORPORATION COMMON STOCK)"
"1934","ENIC","(Enel Chile S.A.)"
"1935","ENJ","(ENTERGY NEW ORLEANS LLC FIRST MORTGAGE BONDS 5.0% SERIES DUE DECEMBER 1 2052)"
"1936","ENJY","(ENJOY TECHNOLOGY INC. COMMON STOCK)"
"1937","ENJYW","(ENJOY TECHNOLOGY INC. WARRANT)"
"1938","ENLV","(ENLIVEX THERAPEUTICS LTD. ORDINARY SHARES)"
"1939","ENO","(ENTERGY NEW ORLEANS LLC FIRST MORTGAGE BONDS 5.50% SERIES DUE APRIL 1 2066)"
"1940","ENOV","(Enovis)"
"1941","ENPC","(Executive Network Partnering)"
"1942","ENPH","(Enphase Energy)"
"1943","ENR","(Energizer Holdings)"
"1944","ENS","(EnerSys)"
"1945","ENSC","(ENSYSCE BIOSCIENCES INC. COMMON STOCK)"
"1946","ENSG","(Ensign Group)"
"1947","ENSV","(ENSERVCO CORPORATION COMMON STOCK)"
"1948","ENTG","(Entegris)"
